Technical Description,Instances
Action of type /GoTo removed by content management policy.,97
Action of type /URI removed by content management policy.,86
Document contains metadata: Document information dictionary detected in a document trailer dictionary.,16
Document contains metadata: XML Metadata detected in a document catalog dictionary.,15
